id_viewed;race_viewed;channel_viewed;unique_social_media_handles;province_viewed;gender_viewed;age_viewed;most_viewed_channel;duration_time
1;indian_asian;1;1;Western Cape;male;42;ICC Cricket World Cup 2011;2025-11-18T11:29:28.000Z
1;None;1;1;Mpumalanga;male;46;CNN;2025-11-18T07:24:22.000Z
1;indian_asian;1;1;Gauteng;male;34;ICC Cricket World Cup 2011;2025-11-18T05:01:12.000Z
1;None;1;1;Western Cape;female;36;Supersport Live Events;2025-11-18T04:49:00.000Z
1;None;1;1;Kwazulu Natal;female;47;ICC Cricket World Cup 2011;2025-11-18T04:36:12.000Z
1;coloured;1;1;Eastern Cape;male;30;Channel O;2025-11-18T04:17:48.000Z
1;white;1;1;Gauteng;male;47;Supersport Live Events;2025-11-18T04:10:46.000Z
1;indian_asian;1;1;Mpumalanga;male;26;ICC Cricket World Cup 2011;2025-11-18T04:03:26.000Z
1;None;1;1;Western Cape;male;32;Trace TV;2025-11-18T03:44:33.000Z
1;white;1;1;Gauteng;male;34;Supersport Live Events;2025-11-18T03:38:48.000Z
1;indian_asian;1;1;Limpopo;male;26;Supersport Live Events;2025-11-18T03:36:14.000Z
1;coloured;1;1;Western Cape;male;28;Boomerang;2025-11-18T03:32:21.000Z
1;black;1;1;Gauteng;male;27;ICC Cricket World Cup 2011;2025-11-18T03:31:10.000Z
1;indian_asian;1;1;Gauteng;male;30;ICC Cricket World Cup 2011;2025-11-18T03:29:46.000Z
1;white;1;1;Gauteng;male;32;Supersport Live Events;2025-11-18T03:23:40.000Z
1;black;1;1;Mpumalanga;female;18;Trace TV;2025-11-18T03:14:54.000Z
1;black;1;1;Kwazulu Natal;male;30;Trace TV;2025-11-18T03:14:51.000Z
1;black;1;1;Gauteng;male;27;Trace TV;2025-11-18T03:12:51.000Z
1;coloured;1;1;Western Cape;male;43;Supersport Live Events;2025-11-18T03:12:10.000Z
1;white;1;1;Gauteng;male;30;Supersport Live Events;2025-11-18T03:06:58.000Z
1;indian_asian;1;1;Eastern Cape;male;29;ICC Cricket World Cup 2011;2025-11-18T03:05:14.000Z
1;black;1;1;Eastern Cape;male;23;Trace TV;2025-11-18T03:04:39.000Z
1;black;1;1;Kwazulu Natal;female;24;Trace TV;2025-11-18T03:03:39.000Z
1;coloured;1;1;Western Cape;male;30;ICC Cricket World Cup 2011;2025-11-18T03:02:30.000Z
1;indian_asian;1;1;Limpopo;male;32;ICC Cricket World Cup 2011;2025-11-18T03:01:14.000Z
1;white;1;1;Western Cape;male;27;ICC Cricket World Cup 2011;2025-11-18T03:01:12.000Z
1;black;1;1;Free State;male;46;Trace TV;2025-11-18T02:59:36.000Z
1;coloured;1;1;Kwazulu Natal;female;10;Trace TV;2025-11-18T02:59:03.000Z
1;coloured;1;1;Eastern Cape;male;30;Boomerang;2025-11-18T02:58:13.000Z
1;indian_asian;1;1;Gauteng;male;33;ICC Cricket World Cup 2011;2025-11-18T02:55:22.000Z
1;black;1;1;Kwazulu Natal;male;26;Channel O;2025-11-18T02:47:51.000Z
1;black;1;1;Kwazulu Natal;male;48;ICC Cricket World Cup 2011;2025-11-18T02:47:30.000Z
1;black;1;1;Kwazulu Natal;male;32;Supersport Live Events;2025-11-18T02:45:30.000Z
1;indian_asian;1;1;Gauteng;male;28;ICC Cricket World Cup 2011;2025-11-18T02:45:28.000Z
1;indian_asian;1;1;Eastern Cape;male;25;ICC Cricket World Cup 2011;2025-11-18T02:45:12.000Z
1;indian_asian;1;1;Limpopo;male;41;ICC Cricket World Cup 2011;2025-11-18T02:43:34.000Z
1;coloured;1;1;Gauteng;male;38;Supersport Live Events;2025-11-18T02:40:10.000Z
1;black;1;1;Gauteng;male;42;ICC Cricket World Cup 2011;2025-11-18T02:35:02.000Z
1;None;1;1;Gauteng;male;47;Trace TV;2025-11-18T02:33:45.000Z
1;coloured;1;1;Western Cape;male;49;Channel O;2025-11-18T02:31:57.000Z
1;None;1;1;Western Cape;male;39;ICC Cricket World Cup 2011;2025-11-18T02:31:36.000Z
1;black;1;1;Gauteng;male;34;Channel O;2025-11-18T02:28:15.000Z
1;black;1;1;Gauteng;male;30;Channel O;2025-11-18T02:27:57.000Z
1;indian_asian;1;1;Eastern Cape;male;27;ICC Cricket World Cup 2011;2025-11-18T02:26:14.000Z
1;black;1;1;Free State;male;29;Trace TV;2025-11-18T02:24:54.000Z
1;indian_asian;1;1;Limpopo;male;26;ICC Cricket World Cup 2011;2025-11-18T02:24:50.000Z
1;black;1;1;Mpumalanga;male;27;Trace TV;2025-11-18T02:24:03.000Z
1;black;1;1;Kwazulu Natal;male;43;Supersport Live Events;2025-11-18T02:21:52.000Z
1;coloured;1;1;Western Cape;male;43;ICC Cricket World Cup 2011;2025-11-18T02:21:18.000Z
1;coloured;1;1;Western Cape;male;51;CNN;2025-11-18T02:19:32.000Z
1;indian_asian;1;1;Gauteng;male;38;ICC Cricket World Cup 2011;2025-11-18T02:19:30.000Z
1;black;1;1;North West;male;34;Channel O;2025-11-18T02:16:00.000Z
1;coloured;1;1;Kwazulu Natal;male;42;ICC Cricket World Cup 2011;2025-11-18T02:15:40.000Z
1;indian_asian;1;1;Mpumalanga;male;29;ICC Cricket World Cup 2011;2025-11-18T02:13:08.000Z
1;black;1;1;Kwazulu Natal;male;45;SuperSport Blitz;2025-11-18T02:10:18.000Z
1;indian_asian;1;1;Free State;male;37;ICC Cricket World Cup 2011;2025-11-18T02:10:02.000Z
1;white;1;1;Gauteng;female;38;Supersport Live Events;2025-11-18T02:09:56.000Z
1;coloured;1;1;Western Cape;female;27;ICC Cricket World Cup 2011;2025-11-18T02:09:56.000Z
1;coloured;1;1;Western Cape;female;42;ICC Cricket World Cup 2011;2025-11-18T02:09:56.000Z
1;None;1;1;None;None;0;ICC Cricket World Cup 2011;2025-11-18T02:09:56.000Z
1;white;1;1;Gauteng;male;30;ICC Cricket World Cup 2011;2025-11-18T02:09:54.000Z
1;indian_asian;1;1;Kwazulu Natal;male;26;ICC Cricket World Cup 2011;2025-11-18T02:09:54.000Z
1;None;1;1;Gauteng;male;67;ICC Cricket World Cup 2011;2025-11-18T02:09:54.000Z
1;white;1;1;Kwazulu Natal;male;30;Supersport Live Events;2025-11-18T02:09:52.000Z
1;coloured;1;1;Western Cape;male;52;SuperSport Blitz;2025-11-18T02:09:52.000Z
1;black;1;1;Kwazulu Natal;male;35;Channel O;2025-11-18T02:09:51.000Z
1;indian_asian;1;1;Kwazulu Natal;male;40;Supersport Live Events;2025-11-18T02:09:50.000Z
1;indian_asian;1;1;Free State;male;26;ICC Cricket World Cup 2011;2025-11-18T02:09:50.000Z
1;white;1;1;Gauteng;male;53;Supersport Live Events;2025-11-18T02:09:48.000Z
1;None;1;1;Gauteng;male;39;Supersport Live Events;2025-11-18T02:09:26.000Z
1;None;1;1;None;None;0;ICC Cricket World Cup 2011;2025-11-18T02:08:36.000Z
1;white;1;1;Gauteng;male;21;Supersport Live Events;2025-11-18T02:08:30.000Z
1;indian_asian;1;1;Eastern Cape;male;33;Supersport Live Events;2025-11-18T02:08:20.000Z
1;None;1;1;Western Cape;male;32;ICC Cricket World Cup 2011;2025-11-18T02:07:58.000Z
1;black;1;1;Gauteng;male;35;Supersport Live Events;2025-11-18T02:07:58.000Z
1;indian_asian;1;1;Gauteng;male;31;Supersport Live Events;2025-11-18T02:07:44.000Z
1;white;1;1;Gauteng;female;34;Supersport Live Events;2025-11-18T02:07:44.000Z
1;white;1;1;Gauteng;male;30;Supersport Live Events;2025-11-18T02:07:04.000Z
1;indian_asian;1;1;Gauteng;male;49;ICC Cricket World Cup 2011;2025-11-18T02:07:02.000Z
1;white;1;1;Western Cape;male;51;ICC Cricket World Cup 2011;2025-11-18T02:06:26.000Z
1;indian_asian;1;1;Eastern Cape;male;9;ICC Cricket World Cup 2011;2025-11-18T02:06:24.000Z
1;black;1;1;Gauteng;male;27;Channel O;2025-11-18T02:05:42.000Z
1;coloured;1;1;Western Cape;male;33;Trace TV;2025-11-18T02:05:33.000Z
1;black;1;1;Gauteng;male;31;ICC Cricket World Cup 2011;2025-11-18T02:05:26.000Z
1;white;1;1;Western Cape;male;30;ICC Cricket World Cup 2011;2025-11-18T02:05:22.000Z
1;black;1;1;Gauteng;male;32;Channel O;2025-11-18T02:04:45.000Z
1;black;1;1;Gauteng;male;28;Trace TV;2025-11-18T02:03:12.000Z
1;black;1;1;Western Cape;male;38;Supersport Live Events;2025-11-18T02:03:00.000Z
1;black;1;1;North West;male;25;Channel O;2025-11-18T02:02:57.000Z
